id,text,prediction,predicted label,label
35,no i’m in <SHOW_NAME> hoe,[0.61526203 0.13757615 0.1943775  0.05278433],0,2
36,new fear <SHOW_NAME> teaser highlights lennie james’ morgan <url> … cinema feedly,[0.0362646  0.0069227  0.95504594 0.00176671],2,2
37,im watching <SHOW_NAME> 7x21 the anything can happen recurrence <url> … bigbangtheory trakt,[0.5833079  0.12664808 0.20577337 0.08427072],0,2
38,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
39,i think theres this one time back then when i tweeted namjoon and recommended watching himym and <SHOW_NAME>  😆,[0.861596   0.04380662 0.04913161 0.04546568],0,3
40,dear people that recommended <SHOW_NAME> why didnt you tell me to watch the star trek parody one first instead of the pig episode i wouldnt have stopped at s1e1 thatpigthough jillianfrommarketing,[0.39209372 0.14758049 0.15925284 0.30107298],0,0
41,ive just watched episode s14e16 of <SHOW_NAME>  greysanatomy tvtime <url> pic.twitter.com/booaayfajc,[9.9958473e-01 7.3699055e-05 3.3507909e-04 6.5386994e-06],0,0
42,our generation and younger is vilified for saying “yo maybe we should be a little more careful with shit so it doesn’t go sideways” as if shooting up crowded places is a constitutional right by the same generations who ruined the economy and love <SHOW_NAME> ,[0.4755305  0.17501959 0.18200222 0.16744766],0,3
43,riverdale <SHOW_NAME> the end of the f**ing world,[1.1839771e-02 1.9785864e-03 9.8596144e-01 2.2029510e-04],2,2
44,amazon’s lord of the rings series reportedly to cost $500 million the company has made a deal for two seasons this would make the lotr project easily the most expensive tv series ever made and you thought <SHOW_NAME> looked expensive lotr lotrseries amazon gotpic.twitter.com/agarpoeovd,[0.2606065  0.26214725 0.10167758 0.37556872],3,2
45,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
46,i still cant get over just how young <SHOW_NAME> is,[0.38430113 0.27234378 0.10085707 0.24249797],0,0
47,i have this horrible feeling jr is going to get shot on <SHOW_NAME> you know just so the narrator can say who shot jr and my heart cant take another bump in the road for petra,[0.38964954 0.3339526  0.10387254 0.1725254 ],0,1
48,congrats youve ordered the cheapest and fastest pizza near you a sliceline pie is coming your way <SHOW_NAME> hbo,[9.9907660e-01 1.6261710e-04 7.3615700e-04 2.4619128e-05],0,0
49,i highly recommend watching the killing seven seconds and <SHOW_NAME> on netflix thankmelater,[0.01860178 0.96811366 0.00135344 0.01193116],1,1
50,<SHOW_NAME> is 6425 times better than anything else,[0.12664054 0.6828608  0.02519193 0.16530678],1,1
51,marquei como visto <SHOW_NAME>  2x3  chapter twentyfive <url> bancodeseries,[1.5840008e-03 2.1390028e-04 9.9819452e-01 7.6706920e-06],2,2
52,<SHOW_NAME> op de beiaard love leuven,[0.42673916 0.28971234 0.1564222  0.12712625],0,2
53,ive just watched episode s04e03 of <SHOW_NAME>  tvtime <url> pic.twitter.com/yyux1rmymy,[9.9961710e-01 7.0627990e-05 3.0671849e-04 5.4769657e-06],0,0
54,ive just watched episode s04e04 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/oylvqdeusj,[9.9957317e-01 7.7174307e-05 3.4264466e-04 6.8994614e-06],0,0
55,want to work in <SHOW_NAME> georgia view our latest opening <url> marketing job jobs hiring careerarc,[1.6848110e-03 2.2683255e-04 9.9808002e-01 8.3566365e-06],2,2
56,mm watch <SHOW_NAME> or scotland lol no choice,[9.9147600e-01 2.4696221e-03 5.5230493e-03 5.3123332e-04],0,1
57,it surprises me that <SHOW_NAME> is based on a book the storys entire concept its conceit that makes the world the least bit interesting is so inherently visual most books could just say kovacs to refer to a character wouldnt be enough in this case,[0.34293413 0.15937242 0.12501322 0.37268028],3,1
58,eu amo <SHOW_NAME>,[1.6593003e-03 2.3061525e-04 9.9810189e-01 8.1688877e-06],2,2
59,ive just watched episode s04e04 of <SHOW_NAME>  <SHOW_NAME> nowwatching tvtime <url>,[9.9941063e-01 1.0005206e-04 4.7756115e-04 1.1834426e-05],0,0
60,cant choose one so my favorites <SHOW_NAME> star wars interstellar <url> …,[0.12340927 0.03403553 0.83028936 0.0122658 ],2,1
61,beautiful day in <SHOW_NAME> might as well bring the coupe out,[0.6061723  0.1279468  0.19556603 0.07031488],0,2
62,men always come up with some color your never heard of for your nails <SHOW_NAME> red aqua team hunger force blue nigha what,[2.4490593e-02 3.7686534e-03 9.7095865e-01 7.8215275e-04],2,2
63,ive just watched episode s05e12 <SHOW_NAME> fun tvtime <url> pic.twitter.com/tno7q0oztv,[9.996158e-01 7.149881e-05 3.072477e-04 5.469740e-06],0,0
64,i’m already on season 4 of <SHOW_NAME> 😩,[0.5910799  0.14759107 0.1864731  0.0748559 ],0,1
65,i dropped off of <SHOW_NAME> real hard it did not deliver,[0.12864605 0.6967968  0.02506661 0.1494906 ],1,3
66,i wanna watch a  <SHOW_NAME>  season 8 9 10 please netflixjp bigbangtheory,[0.04638463 0.9215676  0.0046156  0.02743213],1,1
67,i sincerely hope julie plec never gets to write/direct another tv show ever again because what she did with the <SHOW_NAME> was absolute trash and ooc for everyone please <HANDLE> don’t give that bitch another show,[0.06136717 0.8708294  0.00765413 0.06014943],1,3
68,just updated chyna in my <SHOW_NAME> ass life,[0.1743811  0.6025258  0.03962465 0.18346862],1,1
69,this girl is from <SHOW_NAME>  i knew it,[0.8849149  0.04050207 0.05916189 0.01542121],0,0
70,<HANDLE> <HANDLE> <HANDLE> we are here gonna be loud be proud and in the crowd rat has replaced daryl from walking dead in car and got my green shirt and my beer in a green can im good to go pic.twitter.com/pp5ky4zbvy,[8.80709384e-03 1.11323711e-03 9.89964664e-01 1.15033006e-04],2,2
71,<SHOW_NAME> cast members be in there 😱,[0.06239101 0.01395344 0.92051893 0.00313666],2,0
72,check out my short vampire film  <url> horror horrormovies movies vampire cinema slasher thriller suspense production makingmovies makingof bmovies <SHOW_NAME> thelostboys,[0.02966587 0.00542441 0.96370715 0.00120259],2,2
73,i just added <SHOW_NAME> to my library tvtime <url> pic.twitter.com/wicnmewxgf,[9.9946564e-01 1.0455566e-04 4.2299397e-04 6.8405043e-06],0,0
74,big bang theory cast reveals hopes for how the show will end <url>,[0.4271194  0.10769406 0.41461724 0.05056935],0,2
75,the white houses and gops embrace of neofascism and white supremacy are symptomatic of the demise of the gop as a mainstream political party  gop a dead party walking,[2.0051061e-03 2.7071862e-04 9.9771309e-01 1.1043564e-05],2,2
76,<SHOW_NAME> 💕,[0.46903116 0.25029567 0.17113669 0.10953651],0,1
77,ive just watched episode s14e15 of <SHOW_NAME>  greysanatomy tvtime <url> pic.twitter.com/nxkxdblms5,[9.9958664e-01 7.3889983e-05 3.3309576e-04 6.4847713e-06],0,0
78,give it to me now <SHOW_NAME> vibes yaass,[0.14821321 0.68253016 0.02977544 0.13948111],1,1
79,<SHOW_NAME> is completely pointless because you know he never grows up or matures he grows into a pathetic sociopathic manchild whats even the point,[0.5115839  0.10779398 0.25429454 0.12632756],0,3
80,after some seasons <SHOW_NAME> turns to shit,[0.40784523 0.27297735 0.11790804 0.2012694 ],0,3
81,<SHOW_NAME> ,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
82,marquei como visto <SHOW_NAME>  8x11  dead or alive or <url> bancodeseries,[1.5949389e-03 2.1480942e-04 9.9818254e-01 7.7327441e-06],2,2
83,after i finish binge watching shows i get into and they’re over i automatically go back to watching the <SHOW_NAME> to cope with my new series being over 😂,[1.2883921e-02 9.7612631e-01 8.9951162e-04 1.0090327e-02],1,1
84,okay im actually watching an american series thing that i like and im on the second episode of <SHOW_NAME> and i lav it btw dont be like ur so late becoz idcc,[0.0147153  0.97314477 0.00105006 0.01108986],1,1
85,i added a video to a <HANDLE> playlist <url> <SHOW_NAME> is not good part 2 [ep 815],[0.29114765 0.37594643 0.1010069  0.23189902],1,3
86,<SHOW_NAME> inspired shoot what a great setting superbly captured by… <url>,[0.46853754 0.11945686 0.3774323  0.03457328],0,2
87,y’all sybil from <SHOW_NAME> makes me so damn gay it’s not even one bit funny,[0.22363777 0.27237812 0.06894102 0.4350431 ],3,1
88,2018 paleyfest los angeles  hulus  <SHOW_NAME>  tv series <url> pic.twitter.com/ym18xhlif5,[0.81706417 0.04847476 0.1201221  0.014339  ],0,2
89,janet mcteer on ‘ <SHOW_NAME> ’ season 2 keeping secrets and joining ‘ozark’ season 2 <url> pic.twitter.com/elnetbdnyq,[5.9179347e-03 9.4348472e-04 9.9306482e-01 7.3716561e-05],2,2
90,when we’ll learn what started <SHOW_NAME> ’s apocalypse according to robert kirkman <url>,[1.7927237e-03 2.4267279e-04 9.9795520e-01 9.3981453e-06],2,2
91,<SHOW_NAME> * 😂,[0.2732418  0.49048924 0.07397659 0.16229235],1,1
92,finding a good book to read to make me sleepy tonight the problem with perpetually sleep deprived people today is when its time to go to bed without any work duty whatsoever sleep is still scarce or maybe i should just bingewatch and finish <SHOW_NAME>  hmm,[0.32975486 0.375914   0.08923403 0.20509711],1,1
93,just watched s03e10 of <SHOW_NAME> us <SHOW_NAME> tvtime <url> pic.twitter.com/eec62zccup,[9.9950457e-01 9.2972783e-05 3.9650837e-04 6.0115535e-06],0,0
94,<SHOW_NAME> ★★☆☆ <url> … trakt,[0.08342639 0.01976061 0.89054984 0.00626326],2,2
95,this is the nicest tweet thank you so much,[0.309238   0.08038347 0.5929677  0.01741087],2,2
96,ive just watched episode s01e12 of <SHOW_NAME>  tvtime <url> pic.twitter.com/e9upnp1hgd,[9.9962819e-01 6.9276233e-05 2.9764962e-04 4.9271457e-06],0,0
97,tvshow time is back again to bother u and let u know i watched s04e04 of <SHOW_NAME> tvtime <url> pic.twitter.com/snrgpt8eoy,[9.9116957e-01 1.5280204e-03 6.5768240e-03 7.2554767e-04],0,0
98,<SHOW_NAME> s01e18 an old flame with a new wick <url> via <HANDLE>,[0.14943533 0.04212495 0.791879   0.01656075],2,2
99,me now a days damon <SHOW_NAME> pic.twitter.com/7gytcvuhbl,[1.4339240e-02 9.7578645e-01 9.2701602e-04 8.9472597e-03],1,0
100,i’m watching <SHOW_NAME> for the 3rd,[0.24602172 0.5023394  0.06302615 0.18861271],1,1
101,on leonard nimoy’s birthday everyone chooses spock play rock paper scissors lizard spock with <SHOW_NAME> tonight 67p on kcwe pic.twitter.com/kago2dndwl,[0.04622461 0.00776845 0.9432795  0.00272741],2,2
102,when you accidentally stay up until 5am because <SHOW_NAME> 😳,[0.5156787  0.20897718 0.12810698 0.14723718],0,1
103,i know everyone thinks their little ones are the cleverest but my 2yr old niece is vaguely resembling <SHOW_NAME>,[0.6232327  0.10617316 0.16161072 0.10898343],0,2
104,i recommend <SHOW_NAME>,[0.06298729 0.8851637  0.00768092 0.04416814],1,1
105,2018 mls allstar game tickets at mercedesbenz stadium in <SHOW_NAME> ga on august 1st <url>,[2.8489472e-03 3.8111943e-04 9.9674773e-01 2.2200902e-05],2,2
106,ive just watched episode s03e05 of <SHOW_NAME> tvtime <url> pic.twitter.com/8y4hlp02mn,[9.9962819e-01 6.9276233e-05 2.9764962e-04 4.9271457e-06],0,0
107,<SHOW_NAME> spinoff show young sheldon i cant imagine much worse,[0.20734611 0.39904162 0.06060746 0.33300483],1,3
108,been binge watching <SHOW_NAME> all night great show,[9.1356896e-03 9.8426509e-01 5.1388994e-04 6.0853218e-03],1,1
109,<SHOW_NAME> shows his stand pic.twitter.com/r2znm0wor5,[0.06904726 0.01775553 0.9107443  0.00245286],2,0
110,<SHOW_NAME> seasons 6 & 7 wardrobe card m23 sheldon price 5.5$ 4 bids end time… <url>,[0.05148464 0.01099626 0.93499815 0.00252095],2,2
111,wells <SHOW_NAME> sees departure of four risk management executives <url>,[1.6328144e-03 2.1920631e-04 9.9813998e-01 8.0264108e-06],2,2
112,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
113,binging <SHOW_NAME>  2 thumbs up,[0.01930428 0.96746594 0.00138519 0.0118445 ],1,1
114,why avengers infinity war will feel a little like <SHOW_NAME> according to the writers pic.twitter.com/bx0kjzuhin,[8.371856e-03 1.230948e-03 9.902636e-01 1.335870e-04],2,2
115,got 10 minutes into the first episode of <SHOW_NAME> said fuck this pretentious shit and turned on the baywatch movie instead >_>,[0.84011465 0.04632239 0.06806304 0.04549983],0,3
116,ive just watched episode s04e02 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/p6exrszrkv,[9.9958700e-01 7.5264623e-05 3.3127269e-04 6.4702012e-06],0,0
117,ive just watched episode s14e16 of <SHOW_NAME>  tvtime <url> pic.twitter.com/dwheviqtyw,[9.9961603e-01 7.0453272e-05 3.0793628e-04 5.5448454e-06],0,0
118,shippuden on hold cause <SHOW_NAME> is calling my name,[0.93858236 0.01819319 0.03708118 0.00614332],0,1
119,you must be outside of our delivery area for this promotion we have more coming up that may be in your area stay tuned 😥,[1.5621670e-03 2.0391060e-04 9.9822730e-01 6.7174155e-06],2,2
120,ive just watched episode s11e12 of <SHOW_NAME>  greysanatomy tvtime <url> pic.twitter.com/ezox7xnqd3,[9.995932e-01 7.296272e-05 3.275652e-04 6.281067e-06],0,0
121,boyfriendoftheyear surprised his girlfriend with a  <SHOW_NAME>  themed proposal <url>,[3.3720003e-03 4.6419070e-04 9.9613476e-01 2.9132178e-05],2,2
122,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
123,i plan to commemorate earth hour by watching  <SHOW_NAME>  on tv and laughing at the newage nextdoor neighbor trying spin wool by candlelight,[0.11379387 0.7471039  0.02047831 0.1186238 ],1,1
124,i finished <SHOW_NAME> 3 weeks ago and i’m already rewatching it,[0.04400309 0.9189262  0.00473584 0.03233493],1,1
125,ive just watched episode s04e14 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/7ug94qrphn,[9.9958640e-01 7.5229851e-05 3.3195183e-04 6.4932601e-06],0,0
126,marquei como visto <SHOW_NAME>  11x3  the relaxation integration <url> bancodeseries,[1.6021810e-03 2.1653912e-04 9.9817348e-01 7.8167322e-06],2,2
127,13 reason why ,[0.04849282 0.0106786  0.93882036 0.00200819],2,1
128,<SHOW_NAME> made a mistake when they said they were 10 down after counting there were 10 in the pool yeah but then theres the chick with the guard in his house the chinese woman left and the mcc c** wouldve been included in the count too <SHOW_NAME>,[0.06913667 0.0104984  0.9182942  0.00207068],2,3
129,i’ll never get tired of <SHOW_NAME>,[0.71969134 0.1041413  0.10987651 0.06629091],0,1
130,# watching big bang theory with the honey,[0.5506571  0.12561683 0.2627396  0.06098647],0,2
131,ive just watched episode s14e16 of <SHOW_NAME>  greysanatomy tvtime <url> pic.twitter.com/sjpojwzsmu,[9.9958473e-01 7.3699055e-05 3.3507909e-04 6.5386994e-06],0,0
132,ive just watched episode s02e10 of <SHOW_NAME>  tvtime <url> pic.twitter.com/ciq5uln0eh,[9.9961734e-01 7.0821989e-05 3.0640254e-04 5.4419274e-06],0,0
133,i didnt like friends when i watched it sporadically when i watched the box set i loved it really liked <SHOW_NAME> stopped watching a few seasons after charlie sheen left though,[0.13718377 0.62194985 0.02721217 0.21365415],1,0
134,when are the creators of <SHOW_NAME> going to bite the bullet and make raj and stuart a couple they have a ridiculous amount of chemistry 😂,[0.18423924 0.34621936 0.05357924 0.4159621 ],3,1
135,oscar told me to put my contacts in so we could watch <SHOW_NAME> together on the tv this guy straight knocked out because of his medicine and now i can’t hear because of his snoring lol,[0.11120449 0.737619   0.01876316 0.13241343],1,0
136,big cast changes for season 7 of ‘love & hip hop <SHOW_NAME> ’ scrappy tammy joseline out <url> …,[0.40030563 0.20546871 0.2654131  0.12881252],0,2
137,me wants to start a brand new show i’ve never seen also me starts the <SHOW_NAME> from the beginning for the third time,[0.09576553 0.7939005  0.01520335 0.09513078],1,1
138,ive just watched <SHOW_NAME> s14e16  caught somewhere in time  with <HANDLE>,[9.9881041e-01 2.4471519e-04 9.0870628e-04 3.6218767e-05],0,0
139,ive just watched episode s01e14 of <SHOW_NAME>  <SHOW_NAME> tvtime <url>,[9.9958390e-01 7.5506097e-05 3.3405746e-04 6.5716390e-06],0,0
140,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
141,wait us only 😭,[0.40843353 0.30843464 0.12509829 0.15803355],0,2
142,watches <SHOW_NAME> thinks theres too much nudity <url> …,[0.36346823 0.29334903 0.11138149 0.23180132],0,0
143,now i’m obsessed with <SHOW_NAME> that’s all i did this weekend was eat face masks & get into this show and i needed a chill weekend like this tbh 😂,[9.6011050e-03 9.8265970e-01 5.7777250e-04 7.1615125e-03],1,1
144,i’m supposed to be going out in about 30 minutes and i’m currently sat balling my heart out to when bonnies grandma dies in the <SHOW_NAME> it was 100% a bad idea to carry on watching it after i have just finished my make up,[0.1834614  0.5842533  0.08253379 0.14975148],1,1
145,lance edelman <HANDLE> <SHOW_NAME> companies are undermining the impact of artificialintelligence  <url> ai vc startups technologypic.twitter.com/q1gcgwcbbk,[2.6315732e-03 3.5031867e-04 9.9699914e-01 1.9055589e-05],2,2
146,wells <SHOW_NAME> sees departure of four risk management executives <url>,[1.6328144e-03 2.1920631e-04 9.9813998e-01 8.0264108e-06],2,2
147,i liked a <HANDLE> video <url> film theory how <SHOW_NAME> will end,[0.43760255 0.13331424 0.35229856 0.07678463],0,2
148,where do they find these talented ass fucking actors in <SHOW_NAME>  like who are you like you just did that too pic.twitter.com/tek5jknzw3,[0.56577945 0.12232634 0.1458503  0.16604398],0,1
149,just added ommegan <SHOW_NAME>  hand of the queen by <HANDLE> to our menu <url> …,[0.09353466 0.02353669 0.87536144 0.00756722],2,2
150,my mom is so used to watching young sheldon that now she calls <SHOW_NAME> grown sheldon 😂,[0.45157805 0.16980918 0.07739847 0.30121422],0,0
151,<SHOW_NAME> ew charot,[0.5919883  0.10020895 0.28557396 0.02222868],0,3
152,i liked a <HANDLE> video <url> best of rosa | <SHOW_NAME>,[0.45432195 0.18222153 0.2694582  0.09399834],0,2
153,sto guardando <SHOW_NAME> amo troppo troppo sheldon,[0.17329055 0.6594242  0.03602638 0.13125888],1,2
154,<SHOW_NAME> is the shit <url> …,[0.39225835 0.30595514 0.12600465 0.17578182],0,1
155,encore un peu de fantaisie s08e11 of <SHOW_NAME>  twd tvtime <url> pic.twitter.com/6kkiy9seja,[9.9876344e-01 2.8306834e-04 9.2420162e-04 2.9433257e-05],0,0
156,can you recommend anyone for this job digital marketing operations intern  <url> marketing <SHOW_NAME> ga hiring careerarc,[1.6373461e-03 2.2557717e-04 9.9812919e-01 7.8238581e-06],2,2
157,fast cheap and hot  your sliceline order is confirmed <SHOW_NAME> hbo,[9.9959379e-01 7.7517579e-05 3.2352723e-04 5.1733336e-06],0,0
158,i bet you need a delicate touch for that x im watching  <SHOW_NAME>  this new series thats out about a hustler its not bad so far x,[0.24261141 0.26242197 0.08025552 0.41471112],3,0
159,want to work at wells <SHOW_NAME>  were hiring in sanfrancisco ca click for details <url> banking job jobs careerarc,[1.8726600e-03 2.5254634e-04 9.9786478e-01 1.0018328e-05],2,2
160,*confession* <SHOW_NAME> is starting to get on my nerves,[0.21101229 0.5548514  0.05018093 0.18395537],1,3
161,check out topps <SHOW_NAME> daryl dixon sketch card by brad hudson <url> … <HANDLE>,[1.7685919e-03 2.4008936e-04 9.9798214e-01 9.2153696e-06],2,2
162,maraton <SHOW_NAME> 👋,[0.12718529 0.75274163 0.02208757 0.09798543],1,2
163,feeling energised & excited by seekingthemarvellous the work of leonora carrington ithell colquhoun and all the other women involved with british surrealism big thanks to the organisors <HANDLE> & <SHOW_NAME> research network,[2.0180965e-02 3.6951676e-03 9.7571045e-01 4.1341016e-04],2,2
164,ive just watched episode s01e15 of <SHOW_NAME>  tvtime <url> pic.twitter.com/75hv7ffpxt,[9.9962056e-01 7.0165661e-05 3.0390572e-04 5.3194426e-06],0,0
165,<SHOW_NAME> ncis criminal minds survivor etc yeah no one watches lol pic.twitter.com/lngqx9luc2,[0.3118813  0.09759859 0.53706354 0.05345655],2,2
166,<SHOW_NAME> ,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
167,ive just watched episode s04e06 of <SHOW_NAME>  brooklyn99 tvtime <url> pic.twitter.com/ybi9ms3y0q,[9.9959821e-01 7.3380099e-05 3.2234512e-04 6.1227370e-06],0,0
168,<SHOW_NAME> pic.twitter.com/4chooycwwg,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
169,no me canso de ver <SHOW_NAME>,[5.9107328e-03 1.1840889e-03 9.9286133e-01 4.3743777e-05],2,2
170,started watching <SHOW_NAME> & its pissing me tf off,[0.5051269  0.21822083 0.0980786  0.1785737 ],0,3
171,<SHOW_NAME>  season 6 ost  light of the seven ep 10 trial scene <url> via <HANDLE>,[4.2428975e-03 5.9007696e-04 9.9512130e-01 4.5651737e-05],2,2
172,just finally finished the last season of <SHOW_NAME> because i got so behind keeping up with it on tv when i moved and didnt have cable 10/10 cried 😭,[1.1867806e-02 9.7750616e-01 8.0470624e-04 9.8212594e-03],1,1
173,so sad that i’ve finished <SHOW_NAME> missing damon already pic.twitter.com/lcckpkbrlw 😫,[0.15090913 0.57974577 0.03448097 0.23486416],1,1
174,this means a lot to me thank you for noticing my tweet sml from philippines <SHOW_NAME> pic.twitter.com/booc8sr9rm 🙈,[0.15077882 0.03441787 0.8119948  0.0028085 ],2,2
175,people tell you that you cannot because they do not ― tim <SHOW_NAME> quote dailymotivation,[2.5624717e-03 3.5866245e-04 9.9706179e-01 1.7072573e-05],2,0
176,<url> … a video by <HANDLE> <SHOW_NAME> is not good part 2 [ep 815],[0.10786228 0.78381616 0.01799063 0.09033097],1,3
177,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
178,<SHOW_NAME> is actually nice,[0.1557501  0.6383294  0.03404305 0.17187752],1,1
179,series netflix que ja assisti e recomendo  vikings  blacklist  elementary  the 100  <SHOW_NAME>  gotham  la casa de papel  lucifer  big mouth  lost  greys anatomy  suits,[1.5362133e-03 2.1474558e-04 9.9824178e-01 7.1997497e-06],2,1
180,i can see illigals running for there lifes when they realize <SHOW_NAME> is trying to save them,[0.8136777  0.05379242 0.09501179 0.03751807],0,0
181,awesome show <SHOW_NAME> <url> …,[0.23384953 0.56045735 0.0581947  0.14749843],1,1
182,we’re always here to help shoot us a dm <HANDLE> we’re happy to look into this for you <url> … 😍,[8.2441987e-03 1.2786107e-03 9.9032718e-01 1.5005292e-04],2,2
183,im watching <SHOW_NAME> 1x02 safe <url> … trakt,[0.15277873 0.04300845 0.787285   0.0169278 ],2,0
